ID;Name;Family;Log P;Accessible Area;Volume;COOH;Num OH;F3-OH;F-5OH;F6-OH;F7-OH;F13-OH;F14-OH;Cm6-OH;Cm7-OH;Ck3-N;Ck7-N;Ck-OH;Cn2-OH;Cn3-OH;Cn4-OH;UGT71C1;UGT71C2;UGT71C3;UGT71C4;UGT71C5;UGT71B8;UGT71B6;UGT71B5;UGT71B1;UGT88A1;UGT72E2;UGT72E3;UGT72E1;UGT72D1;UGT72C1;UGT72B3;UGT72B1;UGT73C3;UGT73C4;UGT73C5;UGT73C6;UGT73C1;UGT73C7;UGT73B2;UGT73B3;UGT73B4;UGT73B5;UGT73B1;UGT89B1;UGT89C1;UGT84A3;UGT84A4;UGT84A2;UGT84A1;UGT84B1;UGT84B2;UGT75B1;UGT75D1;UGT74F1;UGT74F2;UGT74B1;UGT76E5;UGT76E4;UGT76E1;UGT76E2;UGT76E12;UGT76E11;UGT76C4;UGT85A5;UGT85A4;UGT78D2;UGT78D1;VVGT1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Baicalein;1;3.11;460.41;193.278;0;3;0;8.08;10.45;6.87;0;0;;;;;;;;;0;0;1;2;2;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;2;1;1;1;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;1;1;1;1;3;1;1;1;1;0;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Umbelliferone;2;1.58;325.177;115.245;0;1;;;;;;;0;9.11;;;;;;;0;0;0;2;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;1;0;0;2;0;1;1;0;2;1;0;0;1;2;0;0;0;0;2;1;2;0;0;2;0;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4-Methyl-umbelliferone;2;1.74;351.454;132.289;0;1;;;;;;;0;9.12;;;;;;;0;2;0;0;1;0;2;0;1;1;0;0;0;1;0;1;1;1;0;1;1;1;0;0;1;1;0;1;0;0;1;0;1;1;1;0;1;0;0;1;2;0;0;0;2;1;1;0;0;0;1;0;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Sinapic acid;10;2.8;411.385;159.218;4.17;1;;;;;;;;;;;;;;;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4-hydroxyl-benzoic acid;5;3.11;302.821;102.181;4.57;1;;;;;;;;;;;;;;;0;0;1;1;0;0;2;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;a-cyano-4-hydroxyl-cinamic acid;4;1.53;378.362;140.139;1.17;1;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;3,4-dichloroaniline;11;2.51;313.579;111.91;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;3,4-dihydroxylbenzoic acid;5;1;312.879;108.768;4.45;2;;;;;;;;;;;;;;;1;2;1;1;2;0;0;0;1;0;2;2;2;1;0;2;1;0;0;0;0;2;0;0;1;1;0;0;1;0;0;0;0;1;0;2;1;0;2;1;0;0;0;2;0;0;0;0;2;0;1;0;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10; 2,5-dihydroxylbenzoic acid;5;1.68;312.376;108.962;3.01;2;;;;;;;;;;;;;;;2;2;1;1;2;0;0;0;1;0;2;2;0;1;0;2;1;0;0;0;0;2;0;0;1;1;0;0;1;0;0;0;0;2;0;0;1;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11; D-glycerate;11;-1.92;256.482;78.697;3.42;2;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
