Uniprot ID;EC number
H9GIX4;
A0A061GLB3;
A0A022R4H7;
A0A3B6EBM0;
A0A3B6TMF3;
E9H835;
B7QNL9;2.3.1.6
G1K997;
I1H371;
I1LDE3;
A0A067GCR6;2.7.4.3
A0A1U8BD37;4.2.1.20
Q95X11;2.3.1.257
Q61469;"3.1.3.-; 3.1.3.106; 3.1.3.4; 3.1.3.81"
A0A251RV45;
A0A2G2Z6X6;
F1QWZ1;
A0DYK0;2.7.1.40
A0A090LXZ4;6.3.4.21
P50336;1.3.3.4
Q80WV3;2.8.2.-
Q9Z596;5.3.1.22
A0DTP4;
A0A0Q3P2Y5;4.1.1.48
F6GWB9;
A0A6I8RD42;2.7.11.1
Q7Q4V9;
Q0UQ76;
A0A251T6B8;1.11.1.7
P37469;3.6.4.12
P55142;
A0A2K1KVS5;1.11.1.7
B9GQL1;3.1.2.-
A0A078IKC2;
H9GEH0;3.5.1.52
G7IGG6;3.6.4.12
P40369;4.3.2.1
A0A2C9W858;3.5.1.14
A2EZZ9;
F6H2A8;2.7.11.1
G3R1R3;2.8.2.-
H3FS00;
Q9NRW3;3.5.4.38
A0A287AHT6;5.4.2.8
W5N6G5;
A0A3B6DLK4;
F6YZ50;
A0A078IIZ4;2.7.7.9
Q8TTU9;
Q5KMV0;
A9V1W4;
Q6C347;3.6.4.13
A2FBE2;
H2Q259;2.5.1.6
A0A3B3H805;
Q5TPC2;2.7.11.1
A0A1U8IDN0;3.6.4.12
Q9UT75;2.5.1.75
F7EHU8;3.1.1.4
A0A1U8LMQ8;1.14.11.2
A0A0K9QQQ1;3.6.4.12
F6VQ24;
A0A3B6GXC2;
P70288;"3.5.1.-; 3.5.1.98"
H2QKZ9;1.1.1.184
Q0JC10;4.1.1.50
H3G7X8;5.2.1.8
G1KSW5;1.1.99.24
O96266;
E3JT89;
A0A1Z5REA7;
Q9K1M1;2.7.1.40
A0A3B3HCF2;3.1.4.-
H3ELZ7;
A8X1K2;2.5.1.18
A0A1S3ZI33;3.1.1.29
I3LII3;
A0A2R8QCI7;6.3.4.2
A0A251S173;
D8SEM9;
A0A251SD85;
Q9C9C4;4.2.1.11
Q89QW9;
A0A2I3RV12;3.1.4.11
E1BNJ6;2.7.7.41
Q6GL17;1.1.1.42
A0A2I4GSR2;2.7.7.41
A0A251V7M1;
F1QP23;
F7ENU8;
B9S2I7;2.7.4.2
A0A2I3TQG4;2.4.1.155
A0A022Q8B4;
A0A3B6TJW9;
O64983;"2.7.1.105; 3.1.3.46"
A0A0D1CLJ8;
Q28D30;
F6X8Q2;
A0A090M459;5.1.3.15
A0A3Q7EGP4;3.1.1.11
H3HCH0;
P04712;2.4.1.13
A0A1U7YRR6;1.11.1.6
F1NY08;3.1.3.36
A0A078GQ90;
A0A1U8LPP6;
Q5MYU0;2.7.7.84
A0A0K9RX56;2.4.2.14
B5YLQ7;2.1.2.1
Q5A5S8;1.5.1.20
Q75K18;
Q9VVT6;1.8.1.7
H9G6G3;
A0A1D6IBW1;1.11.1.7
W5DAN9;
H2RDK5;
A0A0Q3EFL7;5.2.1.8
E9G7R9;3.1.3.48
A0A6I8R9H6;3.1.3.48
O24617;
B9SUZ4;1.3.1.74
A0A022R4S8;
A0A2I4GX24;
A0A3B6DKY9;3.2.2.22
H2XKV9;2.1.1.63
A0A1S3XF83;3.6.1.22
A0A3B5YTA1;
E3L1V7;
F4PCX5;1.5.5.1
F7BB91;
A0A3B6RQD1;
H2XSH7;
P41877;3.6.4.-
A0A059CML0;
A0A251RU62;
A0A3B6ENL2;
A0A061DXG1;
F6T5C3;2.4.2.7
P05370;1.1.1.49
Q94469;1.2.1.12
B1L6J8;
Q84MC1;4.3.2.9
A0A061GRY8;1.4.4.2
A0A1S3YSQ1;
A0A061G6Q6;2.7.4.2
A2FSQ8;
H9GDM2;3.6.4.13
F7B1Z6;7.6.2.5
Q58DI5;"3.1.3.-; 3.6.1.-; 3.6.1.68"
A0A078H139;3.1.2.-
A0A1S4CI90;
B3TN74;3.4.21.92
B9RET5;2.5.1.47
