Uniprot ID;EC number
A0A0K9QCN5;2.7.11.1
A0A1U8AFD2;1.1.1.37
A0A2C9U9L4;
I1HHS4;2.8.1.8
Q9VEP1;2.1.1.205
A0A251UCQ2;2.3.1.51
A0A6I8SM05;2.3.2.8
F7HM08;3.1.1.3
M4EPD2;
A0A2K3DTN8;
F6TY38;
Q9RYX0;2.7.1.35
A0A1U8A5A9;5.1.1.7
A0A2G3A4R1;
A0A0D1CIX8;2.5.1.18
A0A3B6QB95;
A7UVV8;2.7.11.1
A0A0K9PU32;
F7GDY3;
O53493;"2.3.1.269; 2.4.1.-; 2.4.1.83"
Q9RR99;
A0A1S4AIA0;"3.1.3.77; 4.2.1.109"
A0A059C8B8;
A0A2G2ZLN5;
T1G1Z2;
A0A3B6FK46;
P04530;3.6.4.-
Q7NCQ9;6.1.1.9
Q03019;3.1.3.48
Q7SCK0;
A0C0S0;
A7EEM5;
G1KJJ7;6.4.1.4
A0A2K1JUB6;
Q0U7U4;2.4.2.19
F4PE56;2.7.7.6
B9THX2;3.5.4.26
H3FYN7;
Q38944;"1.3.1.-; 1.3.1.22"
M4F284;2.7.1.30
C0PES7;3.1.3.7
Q552K3;
U5D0B2;
B0S8I4;
M5X410;
P46563;4.1.2.13
M1DI12;2.4.2.14
C5XSY9;
P11172;"2.4.2.10; 4.1.1.23"
Q6CBV3;6.1.1.1
Q99J99;2.8.1.2
B4FK49;2.7.4.6
Q0JJI1;2.5.1.58
M4F4W1;2.5.1.47
A0A1S3Z1Y9;2.4.2.14
Q9RRJ5;5.3.1.16
A0A251QMH6;
P86907;3.1.1.4
A0A1Z5R7C7;
F1R022;1.14.11.2
W1P170;6.1.1.4
A0A059CUU0;
Q814W7;7.1.1.-
A0A1U8I6Z9;3.1.1.-
A0A2G2YSS5;
H2QHJ6;
A0A0P0XFD5;
A0A251TKE8;2.1.2.1
A0A3Q7IEM5;
A0A022RYU2;3.1.1.11
A0A2J6L178;
C3YNR2;
F7CDE0;1.3.1.124
Q06210;2.6.1.16
B3RTQ9;3.6.4.12
A0A0N7KCT0;
Q38A84;2.7.8.1
C5YAA9;2.7.1.11
A0A2I2UV17;3.1.3.4
H2QLK1;1.14.14.18
O67341;
A0A078FUY5;1.3.5.2
Q5NE09;
W5MF12;
D7TUV0;
J9VSD3;
H2MMV8;2.8.2.-
Q9C5P4;2.1.1.367
A0A059DFR5;2.7.2.3
